InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
CI538501,F004,COCONUT (YOUNG),-61,2/1/2023 0:00,4.18,12517,Brazil,0.01,PayPal,6.01,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI538505,F006,KIWI (GREEN),-51,5/9/2023 0:00,4.82,12173,Brazil,0.1,Wire Transfer,3.17,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),Low
CI538526,F003,MANGO (ALPHONSO),-73,8/24/2023 0:00,3.25,11601,Brazil,0,Credit Card,10.64,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),High
CI538654,F004,COCONUT (YOUNG),-32,2/13/2023 0:00,4.74,12312,Mexico,0.01,Wire Transfer,3.33,Tropical Fruit,Online,Returned,FedEx SA,SA2 (Hub),Medium
CI538723,F002,PINEAPPLE (HAWAIIAN),-75,6/28/2024 0:00,3.42,11911,Brazil,0.05,Credit Card,12.81,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI538806,F006,KIWI (GREEN),-65,8/6/2024 0:00,4.39,13802,Argentina,0,Credit Card,10.23,Tropical Fruit,Online,Returned,UPS Global,SA1 (Brazil),Medium
CI538849,F010,GUAVA (PINK),-77,8/26/2023 0:00,4.75,11012,Brazil,0.03,Local Payment,8.6,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI538946,F006,KIWI (GREEN),-39,9/18/2024 0:00,5.61,12515,Brazil,0.1,Wire Transfer,3.19,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
CI538980,F009,PASSION FRUIT,-58,8/20/2024 0:00,4.5,13674,Colombia,0,Credit Card,10.05,Tropical Fruit,Online,Returned,DHL,SA1 (Brazil),High
CI539071,F026,GOOSEBERRIES,-1878,9/22/2024 0:00,7.36,13096,Chile,0.21,Wire Transfer,610.53,Berries,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI539079,F002,PINEAPPLE (HAWAIIAN),-77,8/14/2023 0:00,4.57,13764,Brazil,0.04,Wire Transfer,6.42,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI539184,F022,BLUEBERRIES (PINT),-66,9/7/2024 0:00,7.25,12983,Argentina,0.05,Local Payment,7.68,Berries,Distributor,Returned,UPS Global,SA1 (Brazil),Low
CI539253,F008,DRAGON FRUIT,-96,12/8/2023 0:00,2.96,13196,Argentina,0.02,PayPal,19.58,Tropical Fruit,Distributor,Returned,DHL,SA1 (Brazil),Low
CI539280,F003,MANGO (ALPHONSO),-48,6/25/2023 0:00,3.82,13504,Brazil,0.02,Local Payment,4.27,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
CI539288,F006,KIWI (GREEN),-47,4/12/2023 0:00,5.12,11299,Brazil,0.1,Local Payment,6.01,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),Low
CI539375,V049,CARROTS (BABY),-12,6/2/2023 0:00,2.25,13602,Brazil,0.05,Wire Transfer,8.12,Vegetables,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI539381,F004,COCONUT (YOUNG),-68,1/9/2023 0:00,4.7,11266,Ecuador,0.05,Wire Transfer,9.49,Tropical Fruit,Distributor,Returned,UPS Global,SA1 (Brazil),High
CI539396,F006,KIWI (GREEN),-70,3/17/2024 0:00,3.99,13532,Brazil,0.03,Wire Transfer,14.7,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Medium
CI539411,F024,BLACKBERRIES,-82,9/5/2023 0:00,7.07,11472,Brazil,0.03,Wire Transfer,6.99,Berries,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI539430,F011,ORANGE (VALENCIA),-3753,11/21/2024 0:00,0.39,13677,Argentina,0.26,Wire Transfer,454.41,Citrus,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI539513,F010,GUAVA (PINK),-325,1/3/2023 0:00,28.55,11462,Chile,0.05,Credit Card,44.68,Tropical Fruit,Online,Returned,DHL,SA1 (Brazil),High
CI539515,F024,BLACKBERRIES,-35,2/10/2024 0:00,4.27,11600,Brazil,0.03,PayPal,3.96,Berries,Online,Returned,Correios BR,SA1 (Brazil),Low
CI539583,F001,BANANA (ORGANIC),-84,6/10/2023 0:00,3.84,12951,Brazil,0,Wire Transfer,9.76,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),High
CI539641,F013,LIME (KEY),-1,3/15/2024 0:00,2.14,12535,Brazil,0.15,Wire Transfer,282.26,Citrus,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI539741,F006,KIWI (GREEN),-90,10/20/2024 0:00,2.93,13939,Brazil,0.05,PayPal,17.52,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),Low
CI539763,F004,COCONUT (YOUNG),-43,12/22/2024 0:00,2.88,11918,Brazil,0.04,Local Payment,6.7,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI539796,F026,GOOSEBERRIES,-67,5/6/2023 0:00,8.46,11910,Colombia,0.01,Credit Card,4.49,Berries,Online,Returned,FedEx SA,SA2 (Hub),High
CI539811,F002,PINEAPPLE (HAWAIIAN),-3454,6/3/2023 0:00,1.36,12343,Brazil,0.26,Wire Transfer,1821.13,Tropical Fruit,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI539821,F004,COCONUT (YOUNG),-76,5/29/2023 0:00,4.3,11761,Brazil,0.03,Wire Transfer,7.73,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Medium
CI539853,F010,GUAVA (PINK),-62,12/26/2024 0:00,2.76,12948,Brazil,0.03,Wire Transfer,9.15,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI539953,F009,PASSION FRUIT,-31,1/13/2024 0:00,6.29,12469,Brazil,0.03,Credit Card,6.86,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI539958,F004,COCONUT (YOUNG),-47,12/22/2023 0:00,5.65,13255,Ecuador,0.01,PayPal,6.62,Tropical Fruit,Online,Returned,UPS Global,SA1 (Brazil),High
CI539982,F005,PAPAYA (RED),-49,9/15/2023 0:00,6.19,11141,Brazil,0.1,Wire Transfer,8.53,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
CI539988,F015,TANGERINE (HONEY),-23,9/6/2024 0:00,1.7,13380,Brazil,0.02,PayPal,3.29,Citrus,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI540064,F026,GOOSEBERRIES,-60,9/4/2024 0:00,6.65,13508,Brazil,0.02,Wire Transfer,4.96,Berries,Distributor,Returned,Correios BR,SA1 (Brazil),Low
CI540080,F001,BANANA (ORGANIC),-1251,3/5/2024 0:00,0.77,12185,Brazil,0.22,Wire Transfer,948.66,Tropical Fruit,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI540130,F008,DRAGON FRUIT,-3893,6/29/2023 0:00,0.9,12545,Brazil,0.23,Wire Transfer,847.95,Tropical Fruit,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI540192,F003,MANGO (ALPHONSO),-59,6/3/2023 0:00,7.24,11423,Colombia,0.03,Wire Transfer,3.44,Tropical Fruit,Online,Returned,UPS Global,SA1 (Brazil),Medium
CI540210,F017,BLOOD ORANGE,-39,8/19/2023 0:00,1.52,12218,Brazil,0,PayPal,3.49,Citrus,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI540226,F003,MANGO (ALPHONSO),-42,12/2/2023 0:00,4.96,13210,Brazil,0,Wire Transfer,8.41,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
CI540285,F006,KIWI (GREEN),-55,2/15/2023 0:00,6.44,11300,Brazil,0.04,Wire Transfer,11.71,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI540352,F004,COCONUT (YOUNG),-530,1/27/2023 0:00,1.41,12796,Brazil,0.21,Wire Transfer,350.03,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI540355,F010,GUAVA (PINK),-1904,4/12/2024 0:00,9.52,11858,Chile,0.21,Wire Transfer,1286.58,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI540365,F002,PINEAPPLE (HAWAIIAN),-60,9/9/2024 0:00,4.07,13958,Brazil,0.01,Wire Transfer,9.16,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI540440,F006,KIWI (GREEN),-515,6/24/2024 0:00,1.53,12669,Brazil,0.21,Wire Transfer,336.78,Tropical Fruit,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI540484,F006,KIWI (GREEN),-39,2/17/2024 0:00,5.03,11089,Brazil,0.04,Local Payment,4.04,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI540583,F002,PINEAPPLE (HAWAIIAN),-75,3/21/2023 0:00,3.1,13348,Brazil,0,PayPal,5.28,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI540591,F028,CURRANTS (RED),-45,5/23/2023 0:00,5.02,13106,Brazil,0.04,PayPal,5.14,Berries,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI540606,F004,COCONUT (YOUNG),-31,10/8/2024 0:00,4.35,12794,Brazil,0,Local Payment,7.15,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI540620,F002,PINEAPPLE (HAWAIIAN),-50,8/20/2024 0:00,5.89,11416,Argentina,0.02,PayPal,4.74,Tropical Fruit,Online,Returned,UPS Global,SA1 (Brazil),Low
CI540632,F004,COCONUT (YOUNG),-55,8/12/2024 0:00,7,11999,Brazil,0.03,Local Payment,5.39,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI540667,F028,CURRANTS (RED),-38,4/22/2024 0:00,8.04,11633,Brazil,0.02,PayPal,4.59,Berries,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI540768,F016,POMELO,-24,6/26/2024 0:00,2.05,12872,Argentina,0.02,Credit Card,3.83,Citrus,Online,Returned,DHL,SA1 (Brazil),Low
CI540788,F037,FIGS (BLACK),-1,7/23/2024 0:00,4.2,11160,Brazil,0.1,Wire Transfer,305.47,Stone Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),Low
CI540830,F003,MANGO (ALPHONSO),-70,10/19/2024 0:00,6.75,11640,Brazil,0.03,PayPal,12.61,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),Low
CI540868,F010,GUAVA (PINK),-59,10/19/2023 0:00,5.28,11846,Brazil,0.02,Wire Transfer,6.5,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI540943,F029,MULBERRIES,-42,4/11/2023 0:00,7.38,11408,Argentina,0.02,Wire Transfer,3.77,Berries,Online,Returned,UPS Global,SA2 (Hub),Medium
CI540956,F006,KIWI (GREEN),-2746,3/19/2024 0:00,0.92,12254,Brazil,0.26,Wire Transfer,675.07,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI541019,F002,PINEAPPLE (HAWAIIAN),-265,10/16/2023 0:00,26.79,12279,Chile,0.05,Credit Card,55.5,Tropical Fruit,Online,Returned,DHL,SA2 (Hub),High
CI541020,F009,PASSION FRUIT,-3722,5/16/2024 0:00,1.1,13150,Brazil,0.26,Wire Transfer,1565.37,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI541066,F008,DRAGON FRUIT,-40,4/10/2024 0:00,3.73,13664,Argentina,0.05,Credit Card,5.68,Tropical Fruit,Online,Returned,DHL,SA2 (Hub),Low
CI541090,F008,DRAGON FRUIT,-31,2/15/2024 0:00,6.85,13714,Brazil,0.02,PayPal,5.82,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
I536000,F009,PASSION FRUIT,65,8/26/2024 0:00,5.88,12473,Brazil,0.02,Credit Card,5.66,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F013,LIME (KEY),19,8/26/2024 0:00,2.5,12473,Brazil,0.04,Credit Card,4.58,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536000,F008,DRAGON FRUIT,36,8/26/2024 0:00,5.77,12473,Brazil,0.03,Credit Card,3.43,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F002,PINEAPPLE (HAWAIIAN),45,8/26/2024 0:00,6.12,12473,Brazil,0.03,Credit Card,10.2,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F003,MANGO (ALPHONSO),59,8/26/2024 0:00,5.5,12473,Brazil,0.05,Credit Card,8.35,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F012,LEMON (MEYER),26,8/26/2024 0:00,2.61,12473,Brazil,0.05,Credit Card,2.55,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536000,F003,MANGO (ALPHONSO),69,8/26/2024 0:00,4.2,12473,Brazil,0.04,Credit Card,8.81,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F007,STAR FRUIT,40,8/26/2024 0:00,5.43,12473,Brazil,0.03,Credit Card,7.19,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F004,COCONUT (YOUNG),46,8/26/2024 0:00,3.84,12473,Brazil,0.03,Credit Card,7.83,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F004,COCONUT (YOUNG),29,8/26/2024 0:00,5.89,12473,Brazil,0.03,Credit Card,5.8,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F001,BANANA (ORGANIC),42,8/26/2024 0:00,3.09,12473,Brazil,0.03,Credit Card,5.04,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F001,BANANA (ORGANIC),67,8/26/2024 0:00,3.32,12473,Brazil,0.05,Credit Card,5.79,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F014,GRAPEFRUIT (RUBY RED),31,8/26/2024 0:00,1.48,12473,Brazil,0.04,Credit Card,2.79,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536000,F032,PLUMS (BLACK),1,8/26/2024 0:00,4.43,12473,Brazil,0.15,Credit Card,325.2,Stone Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F008,DRAGON FRUIT,55,8/26/2024 0:00,5.78,12473,Brazil,0,Credit Card,5.02,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F011,ORANGE (VALENCIA),1,8/26/2024 0:00,2.43,12473,Brazil,0.15,Credit Card,304.42,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536000,F026,GOOSEBERRIES,57,8/26/2024 0:00,7.6,12473,Brazil,0,Credit Card,4.16,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536000,F021,STRAWBERRIES (1LB),35,8/26/2024 0:00,6.3,12473,Brazil,0.03,Credit Card,4.72,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536000,F001,BANANA (ORGANIC),27,8/26/2024 0:00,5.19,12473,Brazil,0.01,Credit Card,6.83,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,F009,PASSION FRUIT,82,8/26/2024 0:00,5.4,12473,Brazil,0.1,Credit Card,5.76,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536000,V050,POTATOES (RUSSET),15,8/26/2024 0:00,3.95,12473,Brazil,0.05,Credit Card,6.29,Vegetables,Online,,Correios BR,SA1 (Brazil),Low
I536000,F014,GRAPEFRUIT (RUBY RED),31,8/26/2024 0:00,1.23,12473,Brazil,0.04,Credit Card,3.24,Citrus,Online,,Correios BR,SA1 (Brazil),Low
